"locationid","time","ssp","pfl","dr","slr","migrcost","migration_submergence_cummulative_1p0","landloss_submergence_cummulative_1p0","migration_submergence_cummulative_10p0","landloss_submergence_cummulative_10p0","migration_submergence_cummulative_100p0","landloss_submergence_cummulative_100p0","landloss_change1_10","landloss_change10_100","landloss_change1_100","migration_change1_10","migration_change10_100","migration_change1_100"
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 3.0","H++","Migrationcost 3.0",60480.83155,387540.6655,65285.11485,407251.8365,65511.218575,409317.9805,-5.08622004211322,-0.507338166417337,-5.61936254403217,-7.94348089613856,-0.346332736825998,-8.31732450775141
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 3.0","RCP 2.6 hig","Migrationcost 3.0",27301.57515,124404.1241,29602.902775,131215.1514,24598.850775,130880.98845,-5.47492082700175,0.254667960547731,-5.20630999724229,-8.42928516891817,16.9039233687109,9.8995181052768
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 3.0","RCP 2.6 low","Migrationcost 3.0",22616.717965,62302.84025,24339.062345,66244.46025,18974.42054,68242.1893,-6.32654945454112,-3.01569224424316,-9.53303096001309,-7.6153594993994,22.0412837970402,16.1044472970683
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 3.0","RCP 8.5 hig","Migrationcost 3.0",40658.75435,242399.6345,44347.16975,253975.778,43371.60113,254904.564,-4.77564395832454,-0.365698653357417,-5.15880707732669,-9.0716389593475,2.1998441512719,-6.67223288900389
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 3.0","RCP 8.5 low","Migrationcost 3.0",29145.377,127891.0332,32042.6247,135484.30195,26707.7646,135181.8006,-5.93729564927777,0.223274095704197,-5.70076511040336,-9.94067669805747,16.6492606331341,8.36363310723344
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 4.5","H++","Migrationcost 3.0",59840.07655,386362.56415,66307.5929,405756.755,67236.34535,407341.231,-5.01968685622204,-0.390498982573938,-5.42978766489793,-10.8080014646973,-1.4006728481317,-12.3600590547707
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 4.5","RCP 2.6 hig","Migrationcost 3.0",26666.2331,124548.80105,26165.3411,129640.3896,23634.748225,133397.6075,-4.0880269477311,-2.89818467191649,-7.10469019003055,1.87837554003831,9.67154552019198,11.3682531148353
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 4.5","RCP 2.6 low","Migrationcost 3.0",22463.91816,62208.99002,21453.43469,65164.2024,16761.352625,67623.73915,-4.75045870227103,-3.77436791891125,-8.70412641044192,4.49825120801634,21.8710063577237,25.3854447580484
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 4.5","RCP 8.5 hig","Migrationcost 3.0",39627.29075,243244.8225,42108.81145,252048.746,44618.0519,259321.8575,-3.6193672734802,-2.88559717730157,-6.60940481066149,-6.2621507880904,-5.95894389700234,-12.5942527373007
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 4.5","RCP 8.5 low","Migrationcost 3.0",29140.1924,128233.03035,28766.57455,133706.412,25977.171075,137927.2138,-4.26830874624185,-3.15676842782976,-7.55981779697527,1.28213926960894,9.69668275988739,10.8544970519824
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 6.0","H++","Migrationcost 3.0",59060.62635,389952.142,66925.99365,405216.1865,70210.56215,413901.7185,-3.91433790354715,-2.14343165188442,-6.14167071301791,-13.3174464716797,-4.9077620231941,-18.8787970752701
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 6.0","RCP 2.6 hig","Migrationcost 3.0",27974.16728,125529.02615,24818.7436,128632.3229,22210.56102,132271.52775,-2.47217463974566,-2.82915271057428,-5.37126894615043,11.2797769757242,10.5089226998582,20.6033166324871
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 6.0","RCP 2.6 low","Migrationcost 3.0",23537.26784,63523.46475,20147.10343,64469.5154,14876.62395,66943.02965,-1.48929321428425,-3.83671916044835,-5.3831523728403,14.4033896926586,26.1599862149514,36.7954511495248
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 6.0","RCP 8.5 hig","Migrationcost 3.0",40087.04555,244450.1105,41781.9658,251256.182,42695.557475,257249.1425,-2.7842374405472,-2.38519922268022,-5.23584627301691,-4.22809969341828,-2.18656939066281,-6.50711941778408
"GLOBAL_000",2100,"SSP3","Table protection levels","Discount rate 6.0","RCP 8.5 low","Migrationcost 3.0",30935.70468,130699.4613,28825.69643,133089.64655,24167.81767,136525.8681,-1.82876442353019,-2.58188494678213,-4.45786596367555,6.82062449142826,16.1587726815591,21.8772679659547
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 0.0","H++","Migrationcost 3.0",57502.87975,392759.1255,63834.76415,410564.75,64757.04505,418426.418,-4.53347187728168,-1.91484242132331,-6.53512314126995,-11.0114213888566,-1.44479409030604,-12.6153078446476
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 0.0","RCP 2.6 hig","Migrationcost 3.0",29183.28405,125930.61095,34751.2586,135271.0065,33832.1058,136502.3241,-7.41709698661633,-0.910259805008555,-8.39487164419256,-19.0793282224863,2.64494823217713,-15.9297416357773
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 0.0","RCP 2.6 low","Migrationcost 3.0",22037.414195,61954.9435,28947.108285,68513.00745,26956.663915,69049.90015,-10.5852149635162,-0.78363615900501,-11.4518006944837,-31.3543777362397,6.87614234348727,-22.3222637486939
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 0.0","RCP 8.5 hig","Migrationcost 3.0",40864.6041,245126.951,47132.6643,260923.938,47339.95455,262817.5905,-6.44441051282035,-0.725748857891297,-7.21692960640627,-15.338604981126,-0.439801681230241,-15.8458661049405
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 0.0","RCP 8.5 low","Migrationcost 3.0",28456.72768,128158.13425,35973.36835,139001.11775,34995.51605,140932.82675,-8.46062839745188,-1.38970752988783,-9.96791391725493,-26.4142833094715,2.71826727618627,-22.9780052138447
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 1.5","H++","Migrationcost 3.0",53443.1014,391028.94,60412.2497,414507.938,60439.4458,416242.1065,-6.00441440472412,-0.418367983099993,-6.44790293526612,-13.0403141236859,-0.0450175256426529,-13.0912020760831
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 1.5","RCP 2.6 hig","Migrationcost 3.0",26556.549285,125042.7834,30281.48459,133417.38335,28108.518095,134043.98405,-6.69738766387696,-0.469654466506976,-7.19849671068662,-14.026428151582,7.17589155360497,-5.84401532497522
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 1.5","RCP 2.6 low","Migrationcost 3.0",20750.20125,62239.3695,25316.593985,67309.6013,22217.79326,67557.79755,-8.14634184236072,-0.368738256068096,-8.54511877727168,-22.0064985393816,12.2401960028116,-7.07266398199391
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 1.5","RCP 8.5 hig","Migrationcost 3.0",36813.8412,243671.212,42283.167,258419.2115,41840.0137,260525.2235,-6.05241767336882,-0.814959533300793,-6.91670196149391,-14.8567104700826,1.04806080396012,-13.6529423069278
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 1.5","RCP 8.5 low","Migrationcost 3.0",26533.68558,128388.46185,31431.73712,137336.24005,29227.766895,138380.61375,-6.96930087880789,-0.76045019116569,-7.78274913182939,-18.4597481764537,7.01192624698307,-10.1534380019589
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 3.0","H++","Migrationcost 3.0",50409.97425,388166.5645,57723.69245,411489.7055,54992.6062,411320.569,-6.00853940885988,0.0411034584193174,-5.96496623294303,-14.5084743819325,4.73130898957244,-9.09072463967784
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 3.0","RCP 2.6 hig","Migrationcost 3.0",24635.4574,124345.5465,27761.34025,131743.36385,21878.183555,131254.91215,-5.94940273956655,0.370760003180232,-5.5565847305999,-12.6885521110722,21.1919044326399,11.1922981588318
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 3.0","RCP 2.6 low","Migrationcost 3.0",20571.817215,62027.0781,22445.84301,66323.05035,17784.33414,68418.3551,-6.92596263050477,-3.15924062440231,-10.3040110799609,-9.10967551098767,20.7678048355022,13.5500089557839
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 3.0","RCP 8.5 hig","Migrationcost 3.0",35012.94825,242593.0595,38660.16945,255517.313,35863.65035,255409.1045,-5.32754462416926,0.0423487937977838,-5.2829396794841,-10.4167783128632,7.2335924538996,-2.42967856898484
"GLOBAL_000",2100,"SSP4","Table protection levels","Discount rate 3.0","RCP 8.5 low","Migrationcost 3.0",25630.66035,127847.38695,28710.00725,135727.9509,22995.960015,135502.669,-6.16403990570571,0.165980476759708,-5.98782832612285,-12.0143096508241,19.9026325045599,10.2794867514992
