"locationid","locationname","time","coastlength","gdp","gdpc","length_protected","protlevel_implemented"
"TLS","East Timor",2010,675.982896327972,8369.4476,7443.83204,587.344804286957,76.0968716
"TON","Tonga",2010,252.414037466049,457.494674,4299.146,250.461807489395,20.1674426
"TTO","Trinidad and Tobago",2010,482.179838776588,49123.4988,36631.5932,200.153039932251,161.600038
"TUN","Tunisia",2010,1212.47056633234,71064.67,6780.219,1154.48206755519,31.1406024
"TUR","Turkey",2010,4953.74060091376,790038,10859.016,4290.70660051703,63.9869616
"TUV","Tuvalu",2010,46.5009870529175,39.4701906,3952.51134,27.0370111465454,25.0000148
"TWN","Taiwan. Province of",2010,996.650967478752,170397.93,7206.60322,983.908482670784,59.6159824
"TZA","Tanzania, United Republic",2010,1386.01151549816,53113.28,1184.4713,139.941999912262,18.1901264
"UGA","Uganda",2010,0,35497.7,1062.0128,0,0
"UKR","Ukraine",2010,2812.15277021378,415956.16,9152.102,1134.94549768418,35.7326168
"UMI","United States Minor Outlying Islands",2010,40.1192319393158,19.94542,57046.492,0,0
"URY","Uruguay",2010,819.181670069695,48626.613,14435.833,348.300098896027,51.4725562
"USA","United States of America",2010,50109.9290835913,17706480,57046.492,15306.6716778815,70.1364908
"UZB","Uzbekistan",2010,0,81233.414,2959.8848,0,0
"VAT","Vatikan",2010,0,44.072308,41465.703,0,0
"VCT","Saint Vincent and Grenadine",2010,147.267740249634,1361.34106,11784.1704,129.149736404419,99.9999932
"VEN","Venezuela",2010,4309.92599630356,698415.44,24098.848,1301.08706283569,109.440254
"VGB","British Virgin Islands",2010,114.809487618506,1463.5135,49753.07,103.070771455765,145.049558
"VIR","Virgin Islands, U.S.",2010,233.712059155107,6182.2656,57046.492,131.309934616089,198.510632
"VNM","Viet Nam",2010,3780.94461375475,272224.9,3098.7341,1397.71793103218,24.9268106
"VUT","Vanuatu",2010,1792.41204833984,954.631386,3989.61236,130.406265258789,24.9999982
"WLF","Wallis and Futuna",2010,76.8046226501465,594.6855,48915.82,76.8046226501465,121.160778
"WSM","Samoa",2010,328.700775146484,1070.56678,5856.3644,328.700775146484,61.7908942
"YEM","Yemen",2010,2208.480894804,29192.97,1213.6855,381.797565460205,24.9999892
"ZAF","South Africa",2010,2805.31757628918,555287.44,11075.9795,1696.54881954193,71.608093
"ZMB","Zambia",2010,0,31246.201,2387.3384,0,0
"ZWE","Zimbabwe",2010,0,13460.4102,1070.70338,0,0
