"locationid","time","ssp","pfl","dr","slr","migrlevel","migration_submergence_cummulative_2p0","landloss_submergence_cummulative_2p0","migration_submergence_cummulative_3p0","landloss_submergence_cummulative_3p0","migration_submergence_cummulative_4p0","landloss_submergence_cummulative_4p0","landloss_change3_2","landloss_change3_4","migration_change3_2","migration_change3_4"
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 8.5 hig","Migrationlevel   1.0",40004.506,245419.132,35567.3757,241970.7805,32059.9609,238968.534,1.4251107067037,-1.24074753728373,12.4752816666201,-9.86132581043925
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 8.5 hig","Migrationlevel  10.0",48945.54445,262547.885,39367.8826,254689.897,33697.3609,250161.112,3.08531594403998,-1.77815651635369,24.3286181970071,-14.4039285973689
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 8.5 low","Migrationlevel   1.0",28769.2056,129758.2659,25903.23433,127471.8972,23130.4093,126049.466,1.79362569336576,-1.11587826904957,11.0641444751197,-10.7045513879656
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 8.5 low","Migrationlevel  10.0",34636.46395,139019.46175,29491.767925,135470.28,24324.60537,132827.53255,2.61989696190189,-1.95079500094042,17.4445154935553,-17.5206944803734
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","H++","Migrationlevel   1.0",55249.5589,391541.377,50913.51095,386187.7905,45435.75715,380740.8203,1.3862650844214,-1.41044598871128,8.51649762330916,-10.7589394205783
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","H++","Migrationlevel  10.0",67033.3887,416900.151,56184.46035,405957.528,50075.92425,399634.361,2.69550931938871,-1.55759323669939,19.3094821636033,-10.8722875719496
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 hig","Migrationlevel   1.0",28114.33583,126063.2146,24381.49207,123852.38075,21668.68118,122540.12305,1.78505559328944,-1.05953369006998,15.3101530836706,-11.1265171229531
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 hig","Migrationlevel  10.0",30345.91765,133047.11,24457.608275,129850.7406,21671.900185,127800.26675,2.46157194424194,-1.57910062008534,24.0755731664036,-11.3899448330256
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 low","Migrationlevel   1.0",22931.506005,62801.9481,20366.826005,61815.4765,18015.220545,61094.32895,1.59583271998236,-1.16661326714839,12.5924383081113,-11.5462539888281
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 low","Migrationlevel  10.0",24632.173835,66864.55575,20036.341075,65124.081,17365.293725,63996.7811,2.67255172476062,-1.73100315995246,22.9374851565807,-13.3310135817799
